epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,17105.9,0.97762,0.57251,1.02544,0.81217,0.59706,0.68485,0.459,0.94447,0.59554,0.95766,0.00109,0.00109,0.00109
92,17277.6,0.96874,0.56388,1.02226,0.81205,0.59695,0.68521,0.45937,0.9441,0.59559,0.95714,0.000991,0.000991,0.000991
93,17449.5,0.96254,0.55831,1.01934,0.81316,0.59679,0.6852,0.45942,0.94373,0.59524,0.95664,0.000892,0.000892,0.000892
94,17621.3,0.95811,0.55538,1.0181,0.81278,0.59603,0.68508,0.45953,0.94351,0.59552,0.95632,0.000793,0.000793,0.000793
95,17793.1,0.95556,0.55146,1.01548,0.81568,0.59565,0.68524,0.45983,0.94334,0.59559,0.9559,0.000694,0.000694,0.000694
96,17964.7,0.95018,0.54973,1.01125,0.81649,0.59501,0.68499,0.46005,0.94329,0.59561,0.95548,0.000595,0.000595,0.000595
97,18136.5,0.94825,0.5446,1.00999,0.81698,0.59503,0.68515,0.46022,0.94339,0.59558,0.95508,0.000496,0.000496,0.000496
98,18308.3,0.94606,0.54408,1.00834,0.81578,0.59535,0.68494,0.46031,0.94308,0.59553,0.95473,0.000397,0.000397,0.000397
99,18480.1,0.93891,0.53876,1.00814,0.8178,0.59446,0.68523,0.46071,0.94272,0.59515,0.95438,0.000298,0.000298,0.000298
100,18651.8,0.9365,0.53535,1.00544,0.81886,0.59363,0.68564,0.46106,0.9426,0.59491,0.95406,0.000199,0.000199,0.000199
